R,G,B,clust
21.74353422834445,24.63472124525456,26.80820367257324,2
22.213480758889677,24.05475051503697,24.351554638086107,0
19.548175958787223,22.14040829106169,24.45668078305191,4
21.22168351761607,23.38911730566141,26.33192064614617,0
21.20107565277432,23.906182269123928,26.672508499416097,0
20.22309533965384,23.63275333656357,26.91277632921743,1
21.710112571901515,23.809130001520604,25.92606134756107,0
16.568375598648934,19.77480251021176,25.10171767730894,3
18.98213421744885,23.08497992948336,26.631468728101385,1
20.85933141837309,23.767093804689736,27.45102763840808,1
23.146285798625648,25.049880570449048,26.65113945734872,2
22.893767808415557,24.55079340578038,26.165515768729264,2
20.524999378550792,23.94130644533165,27.33714336922048,1
21.235669167515,23.828654873309425,26.25670867922433,0
18.380598600522564,21.362897872826764,25.51883603563715,4
23.19856843930224,24.9156375169882,26.521523351211616,2
18.41466748588635,20.655211438629035,22.47451369714283,3
19.11087911170026,21.5270934746115,24.57957120965032,4
17.73984730817869,21.623484747404696,24.81598817522441,4
20.26001169506629,22.855407250662143,25.40089343070532,4
19.43339665551228,23.00439214155053,26.33095069012351,1
21.418812944865365,23.42630321327391,25.671955276033557,0
17.840393408022166,21.568614854377397,25.331337395230356,4
20.65305328899685,23.640002777146705,25.88153178564229,0
21.88655391243286,24.14606871216512,25.992398624484142,0
19.490341073329965,21.64604020553608,23.390093303663583,4
19.573434454794263,22.505656870756745,24.87588525711416,4
15.883149625160597,19.545882186597144,23.47532412771424,3
19.17879985159075,21.73762170191351,24.953449998430425,4
24.253728754487728,25.09156196124713,26.00516913761248,2
23.53192456334758,25.027602083120165,26.26970976585596,2
19.85209396536548,21.21875650254133,23.3532403873283,4
17.85492777458149,21.10748395765384,26.860712107589404,4
19.736949820341604,23.631846872758743,27.08674189879422,1
20.40651866734375,23.51769585031467,25.73916305175888,0
23.643027812214427,24.750839291372447,23.909123151503238,2
21.917131677229804,24.32381255241609,26.75572328044617,0
20.46937802368143,23.315943532209364,25.76118666962661,0
21.60609700567199,23.043880005013467,24.43786702432135,0
21.33091405956878,24.20640953658785,26.28517896647209,0
18.63396978751188,22.4691571173988,26.252959656917035,4
20.825383599547976,21.901870877225708,26.85974027026157,1
21.68599943313526,24.582507058406957,26.694673657662157,0
21.10630104871432,23.54777440440828,25.544852970437585,0
16.647273111228962,22.21675334752199,27.35844928013758,1
21.37525595912084,24.2505588911803,26.40997074931033,0
20.376473829353863,22.41131867279953,23.79490151696252,4
20.152014948277763,23.654981674070463,25.976415889465567,0
20.45977768798938,23.421878672494085,26.893411128162217,1
22.124621484618512,23.263558965302312,23.93734460525,0
19.945742188015625,22.562716909772643,25.74310424745635,4
20.331586429134244,23.087268057663614,25.699942927239903,0
23.051156197194715,24.86637757940903,25.529788406978657,2
17.540732759359067,23.6510730709046,28.67463901657981,1
21.59775925896796,24.460678995324614,27.526162044719463,2
21.85914966767599,24.05355101520843,25.972874420813984,0
20.86730705361076,22.96541499102758,24.456628863828296,0
17.47498810628513,20.587201110302,23.27988347458126,3
19.96116361824169,21.803593869186777,24.363768220877,4
18.96794209461104,21.60613507725931,24.176245994541123,4
