R,G,B
20.67316488581972,22.61961178915861,24.793113750961165
17.848025839852845,20.985442580612975,25.479586950863297
17.150749499630113,21.314008135107528,25.520761439951304
20.53128444029268,23.891205046531063,26.023565990968507
20.445316099177386,24.34842251555256,27.85340783651753
21.602912643394387,22.963394982473062,24.27506460456201
18.52413373187172,22.359514894607553,27.858208357841225
20.672989692988097,22.719582347243733,23.915622384589597
22.542199661590917,25.668606374625906,27.801819525313114
18.281392278423006,20.839837481186915,24.21590904213959
19.1825254569532,22.86058531521013,25.61523375325174
19.34272277710666,23.618098918178234,26.69210425845866
22.4282891692817,24.546007246754552,26.647228701760117
21.46059381193177,24.274421431039244,26.52805445762965
19.763003804922434,23.453058393269956,27.053343404655767
16.529693262530806,20.816693732954363,26.43309512621769
15.147715697816064,19.807785235402672,25.67458275201095
21.103449051310804,23.42604490615467,26.105438941462292
19.5511660198261,24.034263763187035,28.109747926133846
19.749744818476685,22.132869338164046,24.927875682554067
23.535782428513585,25.220679164847876,28.231689993945533
21.3547110598732,24.41684126858656,26.977492626055184
19.75351865097988,22.527341374356606,24.70713795398124
17.59910187782988,21.029670753260415,27.083486643288783
21.408905315419513,24.378809527404965,26.86971718324942
19.17602082572948,20.502493449067458,23.297956661899036
21.796520341553915,23.42783268188528,24.791145438521323
19.439010505094306,22.56316249658172,25.682239601338154
20.959425101269645,23.79930180809204,26.48287118292601
21.312962460490326,23.654357818781616,26.03029696227387
18.273819931735872,21.58329724353681,24.62047899999969
22.029923005703896,23.978347208443246,25.550552099238285
22.880533392142567,24.812266828686507,26.159300718214702
17.4880884847118,23.357234146622776,27.469404406167904
21.462240439080844,24.270822528802277,26.45146328633235
17.61003167933951,21.51761382016256,24.55452163782414
19.685991356124468,23.523297811413496,25.89712359895412
20.135254760697954,23.306072220784742,25.863664520111648
20.51135253303597,23.775467155391826,26.477236806423242
21.58880780353075,23.711713237949407,25.985512730639652
20.544171010289645,22.886440449284752,25.422740975673733
20.431961278144076,23.61930777389173,26.27713114387753
18.116677401176197,21.46352302325819,24.803818825209394
20.273576227654917,25.498285528906663,29.486850069555633
21.496828291127247,23.268759952837705,27.582728444020564
20.744337216096557,22.777312076186515,24.94646409474031
