R,G,B
20.6876522342477,23.449096320837455,25.888342816690642
20.839346921412705,22.710064260258854,24.506532663789972
20.130389008962904,23.912154165591126,27.446154431638146
20.18653759214628,24.600294602073472,28.11398418265436
20.48756641802158,23.309153577416925,25.900624074018673
21.029488526151987,22.871900373210114,24.246826058020314
21.302853035254792,23.47458431781668,25.460167823865948
18.174729523775664,23.46077765668643,26.872164621806657
21.033679869870348,22.971864312068345,24.590343014021894
20.74730959398825,24.638251857373902,27.39848320020281
21.345013408755225,24.22439785167747,25.76195133826598
21.90666855879209,24.600023181114338,27.24067803708017
19.806650598033873,22.412419112017627,25.036281501770336
22.524082659244456,24.584431094258534,25.347520390237722
22.764151447676998,25.274982483838393,27.412510249521397
21.64353173671415,23.672499672557343,24.840222831501602
21.542602393089613,24.13743487262485,26.280125246024475
23.573240218532078,24.908366653326866,25.513555468914106
20.041929706321323,22.273016643597423,25.00244787952061
20.502032217315996,23.971401796538647,26.999774213320325
18.72820881237226,21.05150324660054,24.04977731428199
18.81221587700846,20.96722056582705,23.81726635781994
23.74043547727408,24.727075520809432,25.053911131968047
19.106582601350134,22.762854058276687,25.99126533884015
22.6041140826204,25.11344185422973,27.301757002767975
21.945654341997315,24.12017501177417,26.059953324473927
22.266015826773394,24.50271425208842,25.86335510532829
21.736494804201005,24.36581014371583,26.481904869843063
21.559356969214704,23.976780795936733,25.515077033823967
21.824932668229952,24.50190490122379,26.3555676462121
19.60713642056268,23.45639110512288,27.43638769126484
20.761735793820414,24.240506986673285,27.22298607259133
21.674326431780333,24.447212717171347,26.60557776502446
16.93270497620453,22.91981225151203,25.766974501035417
18.82972365408597,23.311717645157277,27.04370230010547
22.770051454911545,26.326580592825113,27.375170080182336
20.595554390800142,22.554589741431133,23.73368347115549
22.235036246934172,23.91314251226312,28.13838933559306
20.661073045921384,22.680913377570427,24.31360194148261
22.27897853641436,23.902260424343318,25.64202313580659
23.17095518411028,24.384885868777587,24.89933426909047
18.84401832724801,21.3772939535447,23.767112531188577
19.029411226396114,21.61050436577444,24.61485487615871
22.807483425044488,23.18593466729585,24.131310497949205
16.78696009318834,20.177998611392333,23.72745970502103
20.36776152496513,22.40579059085051,26.492055880697446
21.61697044613928,24.620298686511184,26.10208692494701
21.458434580855094,23.62850153840337,26.351974694280067
20.616062173135887,23.08463872293208,25.44285213891025
21.09585017014132,23.506216160285305,26.328392344155098
20.213476211792617,22.756800399514763,25.140478891237333
20.952148275852387,23.461101429567645,25.15007190695907
21.62732277442388,23.572360158734423,26.24874028466688
21.206068554564848,24.019042791592234,26.383957096712386
21.101188489600595,24.121052850145986,25.311639428919882
20.327592898906936,24.845690964179894,28.51405844780704
22.649618024385163,24.367495765462326,24.955505565872002
19.653866486452497,23.16480285975828,26.45336471746436
16.876015402822535,21.78921423327791,27.0643940094132
18.726861216056097,21.690596286617357,24.57123578840019
18.292874438522272,21.655656339235847,25.136408476157655
17.90758140579231,21.531778109741765,24.824674592965106
17.63091969654455,22.053228379838732,25.15768588698857
22.323659522526608,24.540984962791914,25.50659818685084
22.181411242341014,23.812997514734725,24.7613342152566
21.198523830370693,24.201037253615496,26.92873045027644
18.198656943859756,21.86515885367299,25.185802862074876
21.258919858442745,23.173227510293042,24.769664035781194
21.10841062701349,23.685445057476898,26.065723912722476
19.771640010971048,21.953188088707524,24.15645188154793
19.119273393157002,22.23262787467174,25.4085730194221
19.602147607622676,22.41167649986668,24.492671224590417
23.743503414727815,25.017810164939387,25.651486389533442
17.97428287913173,21.760077905650466,26.3194379050932
17.64178044122732,19.976371472016133,24.106259799685503
19.757307592571603,22.86441829900669,25.902431138778486
18.331973434374767,19.98276182957957,23.963804294146026
22.335335418490796,24.70578760324378,27.203330340052812
22.915019029850704,24.6912792709449,25.998220765347433
22.1375256903485,23.741298129045962,25.188374827640278
23.741808589915077,26.29270871021625,27.298852108750296
20.380761320870764,23.07504458995609,27.13433394183299
22.70751307564753,25.347811861218254,27.721035712512865
23.28005967747634,25.16456500624026,26.465130229875445
18.156905932877105,22.4590158775797,25.50603272474744
21.852514088818282,23.98537091080236,26.07947111066744
20.36536398806333,22.194149337690845,24.577153599251385
20.446947174888862,24.286216493010013,27.34665686841426
22.86024162281232,24.348741932770572,25.54602753856259
23.819158231923485,24.65700205303689,25.71876765368503
20.133939921470564,22.46612963701736,25.16007503894006
19.811366369075717,22.659255997298374,25.104126854636494
22.122530951313884,24.54635213597624,26.865126795132394
20.986623335167724,23.543477388672432,25.910507938409896
23.067508543880596,23.96056233911957,25.412643943237025
20.738328855994286,23.617513869846544,25.92311080120736
22.816218789632373,25.431197228540135,27.556049785780903
21.864213539861872,24.061415511173013,25.689641208192914
20.218180567641205,23.126255820817953,24.41228261352857
22.810573599932564,25.50037913331966,27.970583474336323
23.74093585498116,25.484535351056426,25.905858634127352
22.160450539998973,23.599689382306856,25.5981878204915
22.156271029428638,24.15180248325853,25.41153422704719
18.955814497051794,23.020159966570652,26.071959204359683
22.149653439636772,24.2685210612453,27.34445967512943
21.21597520794727,24.041992568940778,26.18893330747448
17.861608934026965,22.143443325958632,26.224070538452494
22.325268673749168,25.30584061561312,27.529477161907103
16.671360722527886,20.287688763319032,22.93253253521952
21.458990457247676,23.523206586308902,25.612628875333208
19.98943445060147,23.317146223846073,26.09975222225515
22.71023149221494,25.02072194500532,26.742695223014547
22.258734378166462,23.560064267311503,24.240356523745316
18.970048085212046,21.150093129932305,22.952863287877577
21.87741635825687,24.013398266632223,25.753510741843407
19.408911358974635,21.25030439560171,23.36373195884994
19.251753085330698,22.627120955700388,25.479760133247456
19.037388487228267,22.815308500308166,25.900182185479462
21.16000408876465,23.65446198328402,25.58267907610995
21.171884796675595,23.14737892163287,25.389784254190214
15.717328983668745,18.4085713162556,22.221276355981658
20.839292994603174,23.208187084847207,25.39427330018627
18.47591665880882,21.208602319429723,25.053540237445795
19.07199297551199,21.100667377087124,24.723866768720516
