R,G,B,clust
20.16581533560265,23.88538374373685,26.199593688469427,2
19.41617613893546,22.7398085792791,24.77288677977653,1
24.3458967333602,26.249408090842287,26.52409377270144,3
19.35116314246859,22.24001447803149,24.790294878787112,1
20.21823198429339,23.77921948356896,26.843104190266654,2
23.59114457087048,24.324736580054573,24.952486832612585,0
24.82620160596446,25.441794564159306,25.86525868279313,3
20.7459158874632,22.84091452786776,25.12626947295024,1
20.01646823404644,22.311306457469847,24.17873814017957,1
20.59799631687789,24.861053984563725,28.87673072829634,2
22.468228619844208,23.707222545185378,24.93101881649461,0
17.315217606331718,21.929230536605832,27.918197461402897,2
19.544867681970423,23.37002445932189,26.824901784187,2
24.752072224341124,25.725399776092576,26.72399220305348,3
20.18541339838236,23.71397843896874,26.57956145532261,2
18.10395432275033,20.72330865251604,23.634898820811152,4
14.587757971544471,18.981302927894568,24.47511133591116,4
22.8545906093236,24.31647415448624,25.02947550980069,0
22.464311389985745,23.11999136755517,24.032162489451743,0
19.137177580952432,22.392527382699875,25.354789021571115,1
20.69157361722201,23.894628239017788,26.41814033592648,0
18.92479556701468,22.01377088068985,25.806481778402837,1
21.31094241594004,23.48333219118427,25.423189202920696,0
20.43428191614006,23.79586043027406,27.32836637864049,2
22.345336625775317,24.630152310262076,27.076806190006412,0
21.17540774575275,23.081323211856688,25.259812859316614,0
23.179256237405635,25.42613046022574,27.15137127935566,3
23.61393157299375,24.376157790227055,25.167655687110173,0
21.915833147201266,24.98536816571153,27.788526175641564,3
22.441425955579536,24.175621657038203,25.547215268596748,0
21.84609344547576,24.435938229341804,26.59064050010833,0
24.089851791881333,25.531409865383768,26.364465637270943,3
20.269757358114514,21.529118132068124,22.23516224189853,1
20.53500900837144,23.455051503746283,25.692208885373443,0
23.1134211511541,24.39512261334588,26.394639810145787,0
18.98600902277925,23.16703867653052,26.9023713945906,2
18.83633390719255,21.896471682188025,24.70465033345714,1
20.009280860526832,23.55090406182089,26.688822008761026,2
21.565511305457253,26.053137696326903,29.838186313453,3
17.55699006192043,21.221633159952603,24.854338503280573,4
19.41321256635059,23.37219964822554,26.70100777330076,2
21.623820749496208,24.165609326236147,26.6533458631367,0
19.05169418122751,21.99995970686452,25.503544585029616,1
20.18490542661289,22.398108714214576,24.984898553195027,1
21.342191826086665,23.788943722656366,26.072116638951083,0
23.461937760776475,23.548652802660797,25.60876573768014,0
20.277223720694703,22.65044520461316,25.58745565602988,1
25.661340963948952,28.083711867749205,29.15094020490428,3
18.03308764267837,21.42268507740511,24.95706825400293,1
21.32982764453866,24.297218525348057,25.98137066939917,0
18.451781710978977,22.7478135144676,27.39955581982351,2
21.56582588743237,23.95089245061417,26.34164964440457,0
17.918683990256433,22.253882139758105,25.54651060586088,1
21.36005859940648,23.837907435173346,26.143292607248487,0
24.118386213534805,24.15864388994196,26.39290964517341,3
21.023357219871585,23.2903802215258,26.100875908621624,0
18.192703917519964,21.663542781549207,25.369487728903824,1
21.41703489999605,24.327249802244364,26.02934348178185,0
18.6727152598615,22.95984292332606,27.554957382010297,2
21.741965039941608,24.17405907439975,26.60221550942895,0
18.267342112943524,22.52233863226529,25.779755189456807,1
20.87009074452317,23.45417155769048,26.78787965777243,2
19.84120372054584,22.734783876222668,25.169543467630252,1
21.717377197304547,24.079496437437395,26.50446572017541,0
20.2302616245046,22.797824652883104,25.114110859468955,1
24.144863264352654,25.01032125472333,26.728125290734727,3
17.248165554409844,18.60351167126132,23.54321520056576,4
22.776951947774705,23.66938218972605,25.242880395956927,0
19.012198560912104,23.961324824257492,27.75574289984778,2
20.988899498971804,24.5604780444232,28.336942899117314,2
20.49620720834826,23.005600365859724,26.625157533416036,2
24.069281972791835,25.92991477379958,27.649201098214565,3
20.751019406151485,23.3345970909203,25.424721600624427,0
16.186435912501675,19.29790010152475,24.240755258881432,4
19.32965661524019,22.66903554211545,26.45927583389295,2
18.515834792678977,22.418939782627493,25.90890854027604,1
18.30813880708497,20.63222256966456,23.411186700423123,4
20.51330446787978,24.751606780046547,28.14846399896245,2
18.98379027401669,22.565394775672363,26.03957680318669,1
18.0064542946466,21.35496113147936,24.527741057723237,4
20.167645611669297,23.215844414609872,26.109263926719905,2
17.729577445332456,24.548238653538604,29.91197465499541,2
18.683564840690284,22.599192712655103,26.278629389900136,2
23.485716154061542,25.23801261362081,25.80152624793842,0
23.178458447240622,25.95675208126253,28.92327587554086,3
17.26027454797895,23.750447465277272,29.227151397271328,2
22.72903733427413,22.416328633868986,23.807585354479563,0
20.9350554340722,23.71131864514174,26.805920858714185,0
19.370054254246835,24.50834432033509,28.663001979152305,2
21.044131441010503,23.65152678973454,25.979487714213565,0
21.89107868039981,24.9082007559494,27.241778623099087,0
20.403022746816006,23.89885998154448,27.00425465125609,2
21.90078957081539,24.39418091096092,26.519244325598358,0
22.12905961571925,23.353248820609068,24.91413193476921,0
21.04975788057772,24.18872522538408,27.370358838965704,2
20.480529099766716,23.11883836111216,25.49300475351952,1
21.48476829463305,24.724812084212125,27.01645069659806,0
20.126636495930864,23.52690521193153,26.446311770787368,2
22.849267428231244,24.24452102561226,25.376019198841604,0
22.028534742601003,22.972495787229867,25.225244088514884,0
19.87924463498608,21.277275689863757,24.100783608003564,1
19.542337904834174,22.21956118500749,24.63934621975285,1
19.948955653942956,21.94138108849977,22.84276092766384,1
16.847809613895596,20.468581403074666,23.95300402999192,4
20.5056231782909,23.468116524545174,25.88299517500544,0
20.07887991549518,22.977132722481983,25.69817272792104,1
19.92280791979987,21.680760800231784,23.76701061634052,1
19.804780932194067,21.906923072433912,23.95258718347036,1
20.014063001299306,22.61471363748645,24.652673404286933,1
21.60597882332228,23.514990764175653,24.435617130029527,0
18.8565809436168,21.49245826810624,23.370447842624262,1
25.80133147441877,26.32141292583829,26.57635577707036,3
19.888374748002967,21.4044134651882,22.295426173008146,1
22.660629118391103,24.35669019695313,26.1351010106964,0
24.04260245323525,25.743629194859984,27.094310113323612,3
22.503108155843737,23.988537745872367,25.809648719356247,0
22.59474504942476,24.57479493548516,25.74458276499594,0
20.492741852170877,24.814592875046436,27.92098825285851,2
21.4097754319548,26.67848303953041,30.29347402573932,3
21.268931895187905,22.613165769855403,24.034444669555796,1
18.632732245534083,22.60570059619285,25.618848325129125,1
19.012002249749955,22.75350950792636,26.751141861038644,2
20.333112279134863,25.11489076447956,29.345438430294585,2
22.025074488813303,22.26570386413076,21.476143867686076,1
20.627498522685457,24.82401220569725,27.754337609708163,2
24.066956765097903,25.85980401706384,27.90109873977651,3
21.62423299118708,23.109941434600515,26.815390895332595,0
21.67216818197206,26.99937999001715,30.4716428309812,3
20.227552749717194,22.23310849390031,24.642804870883012,1
17.441149493308494,20.9663055664845,24.656045591212568,4
23.852060295093697,24.81779959129612,25.466654524041665,0
22.66051806522709,25.188774941781027,25.665529583751297,0
25.928214296668056,26.56568128762856,28.40526783063144,3
20.892394569814467,23.8805647065876,26.195398772359894,0
16.104251127070707,21.080949000447852,25.020091058530607,4
19.558758866122684,22.49002787512014,25.779339208493404,1
20.83339732041308,23.473148483772484,25.557993612263456,0
20.72965240276908,23.27425988121401,25.66736593689467,0
21.3676739553841,24.016733949659056,26.39312089202384,0
23.22041605715548,25.17165126138818,25.84309121975477,0
21.19530978004741,23.72740507173265,26.27644975582956,0
21.30176402699591,23.29582739141488,25.227406604466225,0
15.832610634792136,20.75428101701308,25.778551187813555,4
20.736786351093432,23.076440173476367,25.033607563850385,1
18.91941222213563,23.14166101003064,27.039683082802718,2
19.162282418163347,22.92336897104821,26.268687782951744,2
19.154970189474582,21.28749449745209,25.197529959543505,1
21.68148202986145,23.887576747661598,25.907206427589426,0
20.588501770980056,23.723537257885244,26.40333368629396,2
20.478479254288978,23.30684090002177,27.70875402388878,2
18.962180566496432,21.709633318692592,24.49529492227128,1
20.67316488581972,22.61961178915861,24.793113750961165,1
17.848025839852845,20.985442580612972,25.479586950863297,4
17.150749499630113,21.314008135107528,25.520761439951304,4
20.53128444029268,23.891205046531063,26.023565990968507,0
20.445316099177383,24.34842251555256,27.85340783651753,2
21.602912643394387,22.963394982473066,24.27506460456201,0
18.52413373187172,22.359514894607557,27.858208357841225,2
20.672989692988097,22.719582347243733,23.9156223845896,1
22.54219966159092,25.668606374625902,27.801819525313118,3
