기간,자치구,법정동,토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별)
기간,자치구,법정동,합계,전,답,과수원,목장용지,임야,대지,공장용지,학교용지,주차장,주유소용지,창고용지,도로,철도용지,제방,하천,구거,유지,수도용지,공원,체육용지,유원지,종교용지,사적지,묘지,잡종지
2021,중구,저동1가,"35,683.9",-,-,-,-,-,"17,979.3",-,-,-,-,-,"16,248.6",-,-,-,-,-,-,"1,456.0",-,-,-,-,-,-
2021,중구,충무로4가,"58,568.8",-,-,-,-,-,"38,982.4",-,-,-,-,-,"19,372.6",213.8,-,-,-,-,-,-,-,-,-,-,-,-
2021,중구,충무로5가,"54,147.0",-,-,-,-,-,"32,093.8",-,-,-,-,-,"18,145.8",-,-,-,-,-,-,"3,907.4",-,-,-,-,-,-
2021,중구,인현동2가,"70,408.3",-,-,-,-,-,"35,719.2",-,"12,722.4",-,-,-,"19,738.3",-,-,-,-,-,-,"2,228.4",-,-,-,-,-,-
2021,중구,예관동,"38,737.2",-,-,-,-,-,"24,808.5",-,-,-,-,-,"13,925.1",-,-,-,3.6,-,-,-,-,-,-,-,-,-
2021,중구,묵정동,"61,877.0",-,-,-,-,-,"46,119.4",-,-,280.7,-,-,"14,325.4",-,-,-,21.3,-,-,-,-,-,982.8,-,-,147.4
2021,중구,필동1가,"36,069.6",-,-,-,-,-,"25,263.6",-,-,-,-,-,"10,806.0",-,-,-,-,-,-,-,-,-,-,-,-,-
2021,중구,필동2가,"185,371.1",-,-,-,-,-,"157,237.6",-,-,"1,072.0",504.5,-,"26,068.1",-,-,-,24.2,-,-,-,-,-,414.5,-,-,50.2
2021,중구,필동3가,"94,203.8",-,-,-,-,-,"68,948.4",-,"4,241.3",236.5,-,-,"20,777.6",-,-,-,-,-,-,-,-,-,-,-,-,-
2021,중구,남학동,"10,812.7",-,-,-,-,-,"6,387.8",-,-,295.6,-,-,"4,129.3",-,-,-,-,-,-,-,-,-,-,-,-,-
